Ticker,Vencimento,Dias úteis,F.M. ,Mod.,Strike,A/I/OTM,Dist. (%) do Strike,Último,Var. (%),Data/Hora,Núm. de Neg.,Vol. Financeiro,Vol. Impl. (%),Delta,Gamma,Theta ($),Theta (%),Vega,IQ,Coberto,Travado,Descob.,Tit.,Lanç.
PETRF242,20/06/2025,13,,E,23.51,ITM,"-2,392",804,-926,23/05/2025,3,"2.406,00",160,"10,000",0,-136,-17,0,30,10.4,5.3,14,3,10
PETRF330W4,27/06/2025,18,,A,33,OTM,"+6,80",33,"-1,750",28/05/2025,35,"85.494,00",209,"3,118","1,859",-216,-654,"32,253",50,43.5,50.5,46,4,8
PETRG335W1,04/07/2025,23,,A,33.5,OTM,"+8,41",34,"+13,33",28/05/2025,2,"6.799,00",210,"2,695","1,548",-183,-538,"33,510",50,20,0,500,1,2
PETRF420,20/06/2025,13,,E,37.51,OTM,"+21,39",1,"-5,000",30/05/2025,3,"21,000",219,234,320,-39,"-3,867","4,372",114,90.3,696.4,397.6,65,57
PETRF340W4,27/06/2025,18,,A,34,OTM,"+10,03",18,,27/05/2025,8,"16.196,00",220,"1,697","1,237",-148,-822,"23,515",100,0,73.1,2,2,2
PETRF467,20/06/2025,13,,E,46.01,OTM,"+48,90",5,,01/04/2025,1,"87,500",222,342,198,-34,-680,"13,138",100,0,17.5,0,1,1
PETRF315W1,06/06/2025,4,,A,31.5,ATM,"+1,94",23,"-3,429",30/05/2025,323,"227.519,00",222,"3,554","3,831",-425,"-1,849","16,279",20,92.4,313,457.6,34,168
PETRG347,18/07/2025,33,,E,34.05,OTM,"+10,19",29,-938,30/05/2025,44,"33.672,00",224,"2,057","1,112",-143,-493,"32,513",52,20,206.5,189.9,53,101
PETRF325W4,27/06/2025,18,,A,32.5,OTM,"+5,18",50,"+85,19",26/05/2025,4,"41,400",225,"3,597","1,764",-235,-470,"35,275",60,700,2.4,0,3,5
PETRG342,18/07/2025,33,,E,33.55,OTM,"+8,58",39,-930,30/05/2025,38,"36.278,00",226,"2,558","1,250",-166,-426,"36,675",64,36.3,714.4,171,54,85
PETRG368,18/07/2025,33,,A,33.3,OTM,"+7,77",43,"-1,400",30/05/2025,69,"60.768,00",227,"2,852","1,315",-178,-414,"38,707",83,20.5,455,85.4,54,65
PETRG332,18/07/2025,33,,E,32.55,OTM,"+5,34",67,"-1,067",30/05/2025,172,"275.487,00",227,"3,863","1,477",-212,-316,"43,625",75,94.3,528.3,212.3,81,108
PETRF315W2,13/06/2025,9,,A,31.5,ATM,"+1,94",45,"-1,667",30/05/2025,22,"31.061,00",227,"4,341","2,799",-353,-784,"24,339",48,20,115.7,100.5,14,29
PETRG373,18/07/2025,33,,A,33.8,OTM,"+9,39",33,"-1,316",30/05/2025,46,"108.852,00",227,"2,285","1,167",-155,-469,"34,480",119,32.2,589.4,71.9,50,42
PETRG337,18/07/2025,33,,E,33.05,OTM,"+6,96",51,"-1,053",30/05/2025,151,"197.432,00",227,"3,174","1,375",-190,-373,"40,618",58,135.7,192.5,4.203.200,86,148
PETRG363,18/07/2025,33,,A,32.8,OTM,"+6,15",58,"-1,212",30/05/2025,54,"124.366,00",228,"3,505","1,429",-202,-348,"42,240",93,50.1,91.3,346.1,66,71
PETRG352,18/07/2025,33,,E,34.55,OTM,"+11,81",20,"-1,667",30/05/2025,24,"15.990,00",228,"1,592",931,-121,-603,"27,654",67,43,421.6,1.033.700,56,84
PETRG378,18/07/2025,33,,A,34.3,OTM,"+11,00",24,"-1,429",30/05/2025,30,"548.748,00",229,"1,802","1,008",-132,-549,"29,929",49,3.8,240.6,2.057.500,30,61
PETRG358,18/07/2025,33,,A,32.3,OTM,"+4,53",77,"-1,348",30/05/2025,134,"466.803,00",229,"4,230","1,498",-223,-289,"44,636",121,122.2,612.5,3.393.700,98,81
PETRG383,18/07/2025,33,,A,34.8,OTM,"+12,62",19,-952,30/05/2025,25,"7.863,00",229,"1,402",852,-110,-579,"25,397",63,25.6,224,97.8,34,54
PETRF320W2,13/06/2025,9,,A,32,OTM,"+3,56",26,"-2,353",30/05/2025,25,"13.700,00",230,"3,009","2,452",-300,"-1,155","21,520",33,3.1,28.2,50.1,13,40
PETRF320W1,06/06/2025,4,,A,32,OTM,"+3,56",10,"-4,444",30/05/2025,132,"160.094,00",232,"1,983","2,753",-317,"-3,172","12,172",42,9.1,70.1,432.2,56,132
PETRG362,18/07/2025,33,,E,35.55,OTM,"+15,05",12,-769,30/05/2025,18,"10.999,00",232,990,656,-85,-711,"19,905",111,28.4,122.2,1.237.000,41,37
PETRF325W1,06/06/2025,4,,A,32.5,OTM,"+5,18",5,"-3,750",30/05/2025,699,"57.894,00",233,955,"1,670",-190,"-3,790","7,417",50,54.9,100,2.037.700,50,100
PETRG327,18/07/2025,33,,E,32.05,OTM,"+3,72",88,"-1,020",30/05/2025,48,"77.326,00",233,"4,605","1,498",-233,-265,"45,262",69,87.3,131.2,205.9,117,170
PETRF325W2,13/06/2025,9,,A,32.5,OTM,"+5,18",15,"-2,105",30/05/2025,18,"7.598,00",233,"1,979","1,934",-235,"-1,567","17,194",61,2.7,37.3,33.2,22,36
PETRG393,18/07/2025,33,,A,35.8,OTM,"+15,86",10,"-1,667",30/05/2025,20,"21.148,00",233,849,584,-76,-757,"17,749",169,68.7,327.5,408.1,49,29
PETRG357,18/07/2025,33,,E,35.05,OTM,"+13,43",16,"-1,111",30/05/2025,22,"13.033,00",233,"1,256",777,-103,-641,"23,542",70,46.8,471.6,123.5,49,70
PETRG353,18/07/2025,33,,A,31.8,OTM,"+2,91",99,"-1,000",30/05/2025,37,"110.674,00",234,"4,957","1,497",-241,-243,"45,468",75,24,149.7,87,53,71
PETRG388,18/07/2025,33,,A,35.3,OTM,"+14,24",14,"-1,250",30/05/2025,25,"26.279,00",235,"1,117",708,-94,-675,"21,663",137,44.6,559,551,52,38
PETRF335W4,27/06/2025,18,,A,33.5,OTM,"+8,41",18,"-1,429",30/05/2025,2,"84,600",236,"1,716","1,263",-165,-917,"21,736",75,100,0,8.9,3,4
PETRG322,18/07/2025,33,,E,31.55,OTM,"+2,10",113,-813,30/05/2025,133,"299.112,00",238,"5,324","1,468",-248,-220,"45,321",119,38.1,1.023.300,1.920.300,161,135
PETRF326,20/06/2025,13,,E,32.01,OTM,"+3,59",39,"-1,702",30/05/2025,1.22,"1.469.865,00",238,"3,517","2,134",-292,-749,"27,139",92,574.4,9.664.400,10.197.600,602,657
